title_year,budget,gross,actor_1_facebook_likes,high_score
2014,48000000,89253340,14000,0
2007,85000000,127706877,283,1
2012,39000000,35287788,940,0
2002,27000000,69586544,1000,0
1986,12000000,4884663,425,0
2015,40000000,10640645,1000,0
2003,30000000,14208384,372,0
2011,75000000,20315324,14000,0
1997,180000,925402,36,1
2006,45000000,90703745,2000,0
2004,5000000,1082044,23000,1
2010,4600000,513836,74,1
2001,40000,110536,126,0
1988,7000000,8373585,883,1
2000,10000000,6982680,931,0
2011,50000000,126975169,1000,1
2014,18000000,15155772,712,0
1982,21000000,46700000,16000,0
2005,25000000,77231,1000,0
2014,40000000,38543473,683,0
2002,20000000,8586376,890,0
1974,83532,30859000,383,1
1997,57000000,60984028,18000,1
2007,40000000,25117498,327,0
2004,12000000,1197786,510,1
2009,12500000,1089445,968,0
2007,21000000,36581633,2000,1
1991,15000000,30102717,633,0
1989,20000000,10555348,22000,0
2000,30000000,117559438,826,0
2009,40000000,20999103,13000,1
2006,12000000,18595716,836,0
1999,10000000,6197866,874,1
2002,3000000,13684949,1000,0
2004,26000000,48114556,1000,0
2009,3000000,5005,433,0
2012,75000000,38509342,394,0
2003,48000000,110000082,807,0
2009,18000000,14793904,946,0
2003,60000000,106126012,26000,0
2004,19000000,58156435,506,0
2015,14800000,66009973,20000,0
1998,2900000,5595428,119,1
2008,2000000,4958,29,1
2014,22500000,4190530,523,1
1997,29000000,22359293,1000,0
2007,70000000,47456450,3000,1
1991,450000,2712293,353,0
2012,35000000,13401683,409,1
2002,25000000,41597830,11000,1
1986,17000000,6734844,567,0
2003,50000000,19593740,18000,1
2006,86000000,15131330,563,0
2003,16000000,34308901,833,0
1978,300000,47000000,2000,1
2003,2000000,1098224,178,0
2004,80000000,84185387,4000,0
1998,52000000,36385763,648,1
2015,37000000,20991497,15000,0
2012,35000000,25863915,907,0
2000,1000000,1744858,1000,0
2003,8000000,336456,21000,0
1996,40000000,27663982,10000,0
1991,6000000,57504069,27,1
1986,35000000,16295774,1000,0
1982,5000000,14100000,801,1
2000,40000000,33508922,18000,1
1992,2300000,62549000,1000,1
1999,63000000,37023395,11000,1
2010,18000000,18329466,11000,1
1995,6000000,2600000,21000,1
2005,40000000,25335935,2000,1
2015,150000,4914,0,0
1998,27000000,10297897,11000,0
1993,50000000,700000,106,0
2007,45000000,93452056,11000,1
1997,250000,203134,5,0
2005,5500000,50382128,907,0
1993,30000000,32000000,554,1
1994,20000000,13383737,1000,1
1997,5000000,4306697,990,1
2001,11000000,13103828,11000,1
2013,2500000,6851969,8000,1
2014,1000000,31537320,707,0
2014,35000000,86208010,13000,0
2000,70000000,17473245,2,0
1996,3000000,4109095,729,0
2000,75000000,94999143,18000,1
2000,600000,171988,602,0
2008,8000000,25926543,449,0
2003,300000,2360184,1000,1
1999,2000000,6026908,489,0
2001,30000000,17951431,962,0
1993,800000,1001437,159,1
2004,65000000,52397389,16000,0
1998,13000000,8026971,1000,0
2012,5000000,53884821,235,0
2008,55000000,33472850,8000,0
2002,29000000,16930185,2000,0
1997,80000000,17593391,766,0
2001,21000000,52353636,13000,1
2010,25000000,93571803,23000,1
2009,16000000,15045676,902,0
2009,30000000,58715510,11000,0
1982,10700000,76600000,887,1
1995,68000000,35324232,584,0
1999,40000000,28535768,607,0
2012,20000000,6002756,18000,1
2004,50000000,24006726,13000,1
2011,100000,1316074,574,0
1996,1300000,695229,12000,1
1996,5000000,13269963,11000,1
2009,18000000,22927390,2000,0
2006,5000000,24138847,1000,1
2002,35000000,81150692,773,0
2010,20000000,1183354,403,0
1990,11000000,16667084,651,1
2006,47000000,15519841,4000,0
2011,10000000,1754319,749,1
2005,1500000,7362100,436,1
2002,70000000,30157016,12000,0
2008,2500000,12995673,334,1
1999,8000000,1997807,638,1
2000,15000000,12801190,1000,0
1990,70000000,117541000,13000,1
1994,26000000,13829734,1000,0
2005,45000000,24520892,11000,0
2002,80000000,73215310,13000,0
1987,3500000,14000000,3000,0
2003,3000000,2181290,717,1
1998,3500000,7267324,486,1
2000,7000000,15047419,23000,1
1999,1200000,110720,142,1
2005,33000000,8326035,688,0
2005,50000000,39177541,12000,0
2006,25000000,54098051,440,0
2006,2800000,475000,833,0
2003,25000000,90135191,616,1
2005,43000000,24407944,3000,0
2005,50000000,50815288,13000,0
2008,80000000,120136047,4000,0
2005,62000000,25857987,9000,0
2007,30000000,53680848,18000,1
2006,16000000,39825798,3000,1
2007,25000000,74273505,2000,1
2005,14000000,83025853,15000,1
1998,30000000,60033780,970,0
1999,15000000,16459004,471,0
2006,15000000,47860214,1000,0
1981,14000000,11433134,362,1
2008,40000000,511920,795,0
1999,21000000,15593,670,0
2006,32000000,80197993,678,0
2010,26000000,40168080,2000,0
2006,6000000,63231524,1000,0
2006,21000000,4398392,2000,1
2008,20000000,4234040,20,0
2003,7000000,12583510,1000,0
2001,11000000,13558739,1000,0
2003,16000000,14108518,812,0
2008,40000000,15279680,12000,0
2005,2000000,3335839,24000,0
2011,18000000,127437,974,0
2000,13000000,60008303,571,0
2001,75000000,5409517,3000,0
1992,33000000,48169908,18000,1
1993,7000000,40158000,1000,1
2011,16000000,37300107,3000,0
2001,77000000,33201661,326,1
2013,1000000,4946250,130,1
1997,250000,12006514,13000,1
2008,12000000,8134217,436,0
2006,30000000,2975649,876,0
2010,9500000,58214,617,0
1997,50000000,48154732,10000,0
2009,10000000,19348,12000,0
2008,15000000,183088,697,0
2011,20000000,13987482,11000,0
1995,11000000,39025000,276,1
2002,25000000,17791031,11000,1
1995,60000000,50024083,789,0
2014,70000,30084,10000,0
1986,17000000,2315683,400,0
2005,35000000,19294901,1000,0
1997,12000000,141853,941,0
1995,3500000,27900000,826,1
1995,50000000,9795017,2000,0
2000,40000000,29374178,3000,0
2001,11000000,12610731,1000,0
2000,28000000,16779636,497,0
2009,5000000,92900,1000,0
2001,1500000,703,474,0
2003,79000000,95632614,22000,1
1999,83000000,66862068,1000,0
2007,70000000,38345403,15000,1
1997,300000,40542,318,0
1998,90000000,120618403,2000,1
1988,32000000,60328558,13000,0
1990,60000000,82670733,10000,0
2008,35000000,42168445,940,0
2007,20000000,8104069,716,0
2010,35000000,21129348,10000,1
1989,9000000,10161099,591,1
2000,6000000,18621249,957,1
1977,26000000,50800000,385,1
2002,70000000,18990542,1000,0
2015,14000000,12282677,3000,0
2000,33000000,28927720,18000,0
1999,3500000,3071947,3000,0
2007,15000000,55184721,2000,0
2000,5000000,21994911,838,1
2008,62000000,32178777,3000,0
1977,4000000,39200000,11000,1
2008,7500000,4131640,834,0
2004,40000000,16323969,13000,0
2012,9600000,71442,6000,1
2011,35000000,28064226,327,0
2015,13500000,186354,25000,0
1998,3500000,6390032,3000,1
2004,50000000,6471394,11000,0
2007,53000000,25031037,16000,1
1999,6500000,16842303,900,1
2005,30000000,56068547,567,1
2005,14000000,16298046,874,0
2006,1400000,18435,533,0
2006,1500000,155972,53,1
2007,20000000,47852604,826,0
2011,50200000,62453315,13000,1
2009,4825000,1110286,6000,1
2016,50000000,52822418,769,1
2002,10000000,1309849,16000,1
2002,10000000,598645,990,0
2005,12000000,860002,706,1
2008,6000000,26236603,1000,1
2013,20000000,56667870,2000,1
2015,100000,22757819,220,0
1986,2000000,7369373,265,0
1988,18000000,114968774,15000,1
2010,40000000,67061228,18000,0
2009,26000000,20819129,567,0
2003,25000000,39399750,971,0
1987,350000,4000000,615,0
1989,5000000,6157157,859,0
2013,25000000,37738400,19000,1
2004,18000000,3752725,14000,1
2009,6500000,66637,12000,1
2013,30000000,32154410,17000,1
1999,13000000,5871603,3000,0
1986,13800000,52293982,10000,0
1990,225000,2938208,88,1
2000,15000000,8735529,11000,0
2000,25000000,14983572,774,0
1995,50000000,100328194,795,0
1986,4700000,8025872,237,0
2013,13000000,18004225,2000,0
2009,30000000,31743332,940,1
1998,24000000,100491683,971,0
2002,12000000,10198766,529,0
2013,33000000,99462,716,1
1997,2700000,9054736,402,1
2011,30300000,1196752,286,1
2000,34000000,23360779,9000,0
2010,14000000,20246959,953,0
1991,30000000,74888996,12000,1
2005,35000000,67962333,1000,0
2007,15000000,20380,1000,0
2009,16000000,42638165,10000,0
1996,25000000,15091542,940,0
2014,300000,2468,685,0
2016,10000000,26583369,533,0
2006,1000000,104077,1000,1
2001,2000000,13622333,269,1
2003,9500000,7002255,23,1
2009,60000000,37479778,13000,1
2010,10000000,3205244,1000,1
1999,48000000,60652036,2000,1
1997,50000000,58297830,4000,1
1991,35000000,79100000,22000,1
2004,10000000,8070311,7000,0
2012,68000000,34350553,622,0
2010,47000000,10539414,13000,0
2003,30000000,41407470,3000,1
2008,20000000,476270,486,1
2013,38000000,26903709,26000,1
2014,28000000,20285518,23000,0
2006,15000000,17508670,386,1
2006,20000000,17803796,970,0
2010,8000000,58401464,15000,1
2004,30000000,12831121,489,0
2009,26000000,28501651,20000,1
2005,22000000,1050445,203,1
2015,5000000,3219029,727,1
2013,13000000,25675765,552,0
2010,75000000,47000485,19000,0
2002,80000000,104054514,15000,1
1999,80000000,91188905,14000,0
2011,9000000,27445,472,0
2000,225000,1027119,254,0
2003,4800000,4063859,65,1
2008,2500000,173783,860,1
2005,25000000,11008432,13000,1
2009,70000000,617840,614,1
2013,900000,16097842,282,1
2000,10000000,447750,865,1
2016,25000000,14946229,788,1
2016,10000000,35794166,4000,0
2009,7500000,32391374,23000,1
2010,35000000,17596256,3000,0
2005,50000000,10137232,984,0
2012,1000000,18112929,1000,0
2011,17000000,27854896,15000,0
2005,14200000,74205,3000,1
2011,94000000,9213,23000,1
1999,38000000,8406264,11000,0
2001,13000000,5002310,15000,0
1983,39000000,60000000,593,0
2003,20000000,16248701,6000,1
1996,25530000,20047715,442,0
1991,17000000,9286314,174,0
2005,30000000,51097664,22000,0
2012,79000000,103812241,14000,0
2014,65000000,19059018,623,0
2002,42000000,13208023,2000,0
2004,40000000,40203020,14000,0
2002,55000000,93815117,5000,0
2015,30000000,46875468,455,1
2004,5500000,3629758,517,1
1997,90000000,100853835,11000,1
2008,12000000,7001720,885,0
2005,70000000,129319,421,0
2006,33000000,34014398,852,0
1975,229575,1229197,795,1
2003,22000000,58328680,3000,1
1994,30000000,2869369,1000,1
2004,28000000,17848322,638,0
1996,7000000,1040879,387,1
2003,40000000,9652000,1000,0
2006,19000000,13753931,378,1
1988,20000000,13854000,11000,0
2000,5000000,9628751,93,0
2002,500000,243347,597,0
2014,4000000,25359200,230,1
1996,12000000,38624000,11000,0
2004,65000000,100003492,10000,1
1990,30000000,122012643,826,1
1999,500000,2047570,54,1
2004,4000000,2338695,27000,1
1989,160000,6706368,909,1
2006,3000000,7059537,939,0
2002,6000000,6165429,116,1
2009,12000000,2222647,63,1
1976,960000,117235247,13000,1
1983,15000000,61400000,816,1
1995,45000000,35617599,1000,0
2009,60000000,75280058,309,1
2010,3400000,535249,189,0
2013,40000000,125069696,480,1
2009,7000000,9190525,816,0
2013,30000000,19316646,3000,0
2008,60000000,11802056,973,0
1974,2600000,119500000,1000,1
1999,37000000,22450975,786,1
2001,72000000,32616869,13000,0
2002,38000000,85570368,12000,0
2013,7000000,23838,805,0
2002,16000000,40363530,911,0
2013,4000000,100412,623,1
1993,8000000,22551000,18000,1
2001,38000000,623374,1000,0
2010,10000000,21371425,929,0
2004,20000000,17104669,264,1
1997,1000000,464655,611,0
2007,20000000,15797907,283,1
2009,5000000,143000,487,0
2005,75000000,45356386,2000,0
2005,1500000,92362,890,0
2014,12000000,124868837,8000,1
1982,20000000,5333658,456,0
2003,4000000,44566004,19000,1
2006,45000000,88504640,18000,1
2004,18000000,7739049,405,1
1988,10500000,14114488,1000,0
2009,3000000,10017041,1000,0
2011,32000000,37911876,918,0
2005,3500000,26005908,513,1
1990,65000000,119412921,605,1
2003,14000000,15549702,869,0
1994,25000000,121248145,18000,1
2005,30000000,67253092,17000,1
1996,5500000,35811509,509,1
2000,76000000,26000610,22000,0
2014,4500000,8691,2000,0
1991,2500000,6401336,18000,1
1985,26000000,33200000,826,1
2009,15000000,51527787,10000,0
2003,500000,1111615,69,0
2006,9000000,23078294,1000,0
2009,8500000,4440055,2000,0
2008,35000000,22877808,29000,1
2005,6500000,24792061,24000,1
2004,30000000,100422786,16000,1
2004,10000000,2086345,273,1
2003,24000000,74608545,8000,1
2012,14000000,9402410,962,0
2001,16000000,4356743,719,0
1997,12000000,39647595,22000,1
2014,20000000,52066000,1000,1
1998,90000000,111544445,10000,1
2004,39000000,5881504,865,0
2007,25000000,40218903,272,1
2015,2000000,2557668,1000,0
2013,13500000,85433,5000,1
1997,28000000,5532301,2,0
2000,6000000,9821335,939,0
2014,25000000,59073773,13000,1
2015,2100000,3330,128,1
2011,20000000,24104113,19000,1
2006,20000000,39143839,4000,0
2000,20000000,15464026,302,0
1995,50000000,10400000,10000,0
2014,24000000,65182182,966,0
2003,38000000,7659747,13000,0
1990,40000000,87666629,1000,1
2002,12000000,1779284,1000,1
2015,4000000,375723,61,1
2002,20000000,32983713,723,0
2011,40000000,37371385,176,0
2003,80000000,20950820,3000,0
2004,16000000,13922211,939,0
1999,40000,277233,20000,1
2008,60000000,19781879,19000,0
1994,60000000,105264608,11000,1
2002,60000000,32122249,22000,0
2014,15000000,35887263,13000,1
1985,2200000,21300000,42,0
2013,1066167,258113,1000,1
2006,26000000,16647384,931,0
2010,22000000,1796024,22000,0
1994,230000,3151130,898,1
2001,12000000,17292381,833,0
2014,40000000,83906114,982,0
2006,10000000,1055654,634,1
2007,500000,31937,396,0
2015,70000000,7097125,26000,0
1993,14000000,27515786,592,0
2008,45000000,145109,573,1
2006,15000000,9396487,3000,0
2008,32000000,34180954,14000,1
2008,200000,215185,178,1
2010,25000000,134904,908,0
1988,15800000,109306210,442,0
1999,24000000,10431220,2000,0
2010,400000,425899,93,0
2012,20000000,65623128,982,0
1979,11000000,78900000,1000,1
1989,6500000,27545445,782,1
2003,87000000,120147445,12000,1
2009,4500000,12574715,3000,1
2001,22000000,19351569,240,0
2011,70000000,83552429,833,0
2009,26000000,16999046,900,0
2009,30000000,115646235,2000,1
2004,60000000,80281096,886,0
2011,930000,20186,945,0
2007,16000000,2849142,1000,1
2002,800000,2073984,302,1
2001,1000000,798341,957,1
2007,18000000,25592632,2000,1
2004,15000000,10411980,1000,0
1989,14000000,70001698,10000,1
1997,4000000,12836,18000,0
1999,21000000,17757087,711,0
2002,22000000,121972,14000,0
1996,44000000,53300852,22000,1
2003,22000000,51483949,955,0
2015,17000000,26284475,10000,0
2007,10000000,900926,966,0
2000,6500000,64148,844,1
2015,10000000,27736779,1000,0
2003,100000,11798,361,0
1981,18000000,8000000,372,0
2013,25000000,52528330,975,0
2016,20000000,28876924,646,1
2004,50000000,37486138,627,0
2014,50000000,91439400,14000,0
2005,45000000,48472213,1000,0
2005,70000000,62647540,15000,1
1988,5000000,17768000,742,0
2014,5000000,50820940,852,0
1998,25000000,777423,2000,1
2001,30000000,64172251,979,0
2004,2700000,95016,289,1
2012,60000000,80033643,10000,0
2010,25000000,14637490,798,0
2010,13000000,106952327,20000,1
1980,6500000,31899000,754,1
2002,11000000,41227069,683,1
2013,11000000,34334256,383,0
2003,60000000,66734992,658,0
1999,60000000,73648142,1000,0
2014,150000,5858,0,1
2011,50000000,75605492,22000,1
2015,35000000,10137502,23000,1
2002,4000000,4046737,769,1
2005,32000000,31493782,10000,1
2011,120000,469947,507,1
2000,92000000,125305545,13000,0
2010,8000000,6350058,943,1
1974,13000000,57300000,22000,1
2012,85000000,64933670,8000,0
1998,75000000,14567883,933,0
2004,6000000,795126,393,1
1995,18000000,70360285,1000,0
1987,1100000,1400000,448,0
1999,12000000,2060953,769,1
2000,15000000,27441122,1000,1
1987,3600000,5923044,634,1
2009,2000000,20167424,827,1
2001,15000000,14249005,826,0
2004,11000000,10214647,14000,1
2014,5000000,2445646,10000,0
2013,75000000,117698894,11000,1
2016,5000000,11675178,729,0
2006,1000000,1677838,783,1
1992,12000000,21370057,636,0
1998,14000000,38048637,975,0
2005,52000000,1891821,1000,0
2008,70000000,22531698,14000,0
2006,15000000,8080116,8000,0
2000,28000000,33000377,18000,0
1989,5000000,14343976,935,0
2000,15000000,35007180,23000,0
2010,45000000,15523168,854,1
2000,60000000,36037909,374,0
2007,1000000,274661,141,1
2009,50000000,20488579,18000,0
2009,10000000,449558,1000,1
2005,32000000,82301521,826,0
2007,40000000,41797066,1000,0
2014,68000000,85707116,11000,1
1996,45000000,17300889,1000,0
1998,69000000,55585389,12000,0
2011,5000000,1729969,982,1
2012,1000000,484221,3,1
2002,13000000,15361537,462,0
2003,17000000,42672630,925,0
1989,40000000,118500000,1000,1
2002,19000000,22245861,12000,1
2013,40000000,95001343,11000,1
2006,30000000,18500966,14000,0
1999,9000000,3193102,402,1
2013,3000000,8114507,140,1
2002,35000000,30079316,534,0
2003,17000000,4068087,866,1
2006,10000000,5484375,23000,1
2008,20000000,43818159,2000,0
2012,17000000,4930798,465,0
2008,35000000,40687294,15000,0
2004,4000000,13464388,605,1
2009,18000000,22452209,808,0
2014,55000000,101530738,18000,1
2009,60000000,109176215,4000,0
2015,90000000,27356090,14000,0
2013,40000000,26616999,430,0
1997,5000000,20733485,205,1
2001,7000000,6200756,19000,1
2010,40000000,96917897,10000,1
2001,17000000,96471845,482,1
2001,22000000,11560259,15000,0
2007,2000000,19067631,597,1
1990,3000000,15369573,610,0
1996,25000000,17100000,4000,0
2015,18026148,6498000,218,1
1996,25000000,14095303,900,0
2000,50000000,6291602,2000,0
2011,3000000,73678,1000,0
2001,5500000,1292119,14000,1
1988,7000000,20257000,1000,0
2013,46000000,60962878,20000,1
2011,40000000,42575718,703,0
2010,20000000,263365,3000,0
2014,80000000,23219748,795,0
2004,20000000,34126138,14000,1
1988,4000000,3468572,721,1
2004,7000,424760,291,0
2007,20000000,18882880,995,0
1999,64000000,31054924,11000,0
2002,4000000,562059,979,0
2003,30000000,82163317,918,0
2016,50000000,28837115,14000,0
2013,70000000,8460990,2000,0
2004,8000000,40066497,389,0
2006,19000000,7156725,2000,0
1998,90000000,44606335,12000,1
2011,17000000,56816662,617,1
1997,40000000,33927476,510,0
1995,20000000,19900000,723,0
1999,11000000,101736215,3000,0
2000,60000000,35231365,1000,0
1985,15000000,9929000,22000,1
1993,42000000,20915465,5000,0
2008,85000000,75754670,3000,0
2013,5000000,27296514,11000,1
2004,30000000,21800302,1000,0
2006,18000000,128505958,332,1
2008,90000000,100018837,11000,0
1977,19400870,128300000,559,1
1999,12000000,21133087,347,0
2008,1500000,2283276,56,1
2003,2000000,395592,900,1
2015,11000000,38317535,838,1
2009,8000000,100503,806,0
2009,1000000,3773863,984,1
2002,20000000,56398162,962,0
2006,12000000,28435406,1000,0
1994,50000000,16671505,1000,0
1985,2200000,30000000,426,0
2009,7000000,39462438,12000,1
2011,55000000,68218041,1000,0
1990,25000000,46836394,22000,1
1996,4500000,3798532,3000,1
2015,30000000,52418902,15000,1
2005,45000000,52580895,14000,0
2008,30000000,62877175,15000,1
2013,18000000,10494494,210,0
2008,4000000,542860,163,1
2011,1100000,4105123,1000,1
2003,19000000,26096584,577,0
2011,30000000,23070045,2000,0
1986,16000000,5900000,1000,1
2006,65000000,82226474,1000,0
2003,30000000,51475962,1000,1
2007,10000000,5561,906,0
1994,40000000,38087756,3000,0
1997,15000000,28014536,893,1
1986,40000000,49851591,954,0
1984,30000000,5300000,22000,1
2005,450000,379122,10000,1
2013,5000000,21501098,7000,1
1984,16000000,26400000,358,1
2003,18000000,60057639,1000,1
1994,10000000,29392418,851,0
2012,69000000,37516013,3000,0
2001,500000,295468,22000,0
2006,65000000,43532294,11000,1
2003,1800000,505295,0,1
2011,3850000,611709,232,1
2002,4000000,146402,331,1
2008,60000000,40076438,22000,0
2011,25000000,10324441,10000,0
1996,27000000,78651430,14000,1
2011,3500000,5354039,18000,1
1982,35000000,69700000,1000,0
2008,10000000,7563670,939,0
2010,13400000,163591,898,0
2003,30000000,34604054,5000,0
2004,25000000,9910,690,1
2001,48000000,50173190,18000,1
2005,50000000,18472363,23000,0
1998,66000000,83892374,940,0
2001,16000000,37882551,11000,0
2005,1000000,10042266,1000,0
2007,15000000,28637507,10000,0
2005,40000000,29077547,3000,0
2000,10000000,68353550,4000,0
1987,100000,5228617,467,0
2007,20000000,19661987,11000,1
2014,65000000,115603980,769,1
2008,6000000,2077046,976,0
2002,40000000,14448589,11000,0
2015,5000000,43771291,1000,1
1993,28000000,669276,742,1
2009,10000000,47536959,940,1
2016,20000000,56154094,11000,1
2003,80000000,19480739,23000,0
2007,30000000,50921738,19000,1
2010,7200000,1094798,5000,1
2001,4500000,727883,15000,1
2011,4000000,2601847,48,1
2001,4000000,31252964,13000,1
2010,58000000,90356857,13000,1
2004,2500000,26781723,625,1
2002,4000000,21244913,909,1
2013,39200000,4563029,11000,0
2005,2000000,3885134,538,1
2013,1000000,287761,53,1
2009,17000000,8662318,567,0
1996,8000000,34746109,585,0
