duration,num_voted_users,num_critic_for_reviews,num_user_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,imdb_score,gross,facenumber_in_poster,budget,title_year
121,235133,151,494,17000,22000,394,356,23008,7000,0.8300000000000001,45250,1,18000000,1980
107,60476,60,97,12000,10000,3000,695,14006,7000,0.5900000000000001,82670733,0,60000000,1990
121,63363,240,644,91,19000,972,854,22833,7000,0.5599999999999999,22518325,0,50000000,2006
106,106072,370,398,4000,19000,13000,591,32921,65000,0.78,362645141,0,175000000,2016
108,6838,76,117,54,786,567,463,2730,924,0.63,8054280,3,20000000,2004
215,392474,451,1229,91,986,745,413,2530,18000,0.77,107503316,1,130000000,2009
111,103230,237,143,101,966,919,681,3393,10000,0.5900000000000001,45045037,3,36000000,2011
120,217740,287,1641,91,103,21,5,129,7000,0.79,128067808,3,15000000,2000
111,60156,166,299,91,856,742,725,3309,7000,0.6799999999999999,9525276,0,20000000,2007
86,3080,43,44,302,893,798,428,3049,117,0.62,226792,2,10000000,2001
83,24216,75,162,7,2000,577,485,4024,401,0.41,10431220,0,24000000,1999
176,144337,91,309,58,711,60,60,1004,7000,0.61,88246220,0,175000000,1995
88,49820,131,311,55,506,449,150,1584,7000,0.6599999999999999,44793200,0,4500000,1987
115,173551,157,361,91,85,79,35,318,11000,0.8099999999999999,5383834,0,2000000,2000
123,71708,158,307,91,3000,745,23,3768,7000,0.7,37339525,1,48000000,1998
130,88270,141,420,317,18000,14000,256,32637,7000,0.75,19593740,0,50000000,2003
100,15169,129,213,17,669,429,86,1267,7000,0.62,6852144,0,22000000,2003
105,24657,213,71,91,1000,172,52,1342,7000,0.72,1260917,4,27000000,2009
111,94049,108,301,91,11000,995,529,13645,7000,0.62,108244774,2,37000000,2001
101,17309,104,388,37,2000,886,595,4262,612,0.33,13208023,1,42000000,2002
104,29517,97,79,38,801,727,690,2667,7000,0.58,3447339,7,1500000,2013
121,59462,229,300,353,45,30,18,142,7000,0.6599999999999999,3073392,0,25000000,2008
89,23476,73,181,18,658,257,226,1233,858,0.4400000000000001,66734992,0,60000000,2003
105,43013,71,104,96,509,294,35,888,7000,0.77,35811509,0,5500000,1996
107,600266,204,692,91,2000,663,255,3582,13000,0.8099999999999999,38400000,1,6500000,1984
101,437418,147,609,11000,13000,571,512,15500,38000,0.8099999999999999,70906973,1,14600000,1993
100,44885,103,107,91,12000,2000,1000,18291,478,0.51,85570368,1,38000000,2002
106,20810,139,100,102,14000,3000,970,18712,7000,0.71,5348317,0,10000000,2015
99,45394,121,72,35,3000,594,433,4863,19000,0.65,35057332,0,33000000,2012
100,43376,60,249,36,13000,773,554,15944,7000,0.5700000000000001,17218080,0,70000000,1991
99,47364,117,75,23,405,268,135,1066,7000,0.65,31136950,1,44000000,2010
105,34985,138,135,43,22000,14000,827,37766,7000,0.54,1796024,1,22000000,2010
116,5161,82,48,70,1000,876,706,5804,7000,0.5700000000000001,24397469,7,17000000,2012
108,77390,72,189,610,848,517,461,2913,7000,0.6,70450000,2,50000000,1996
142,1251222,149,1398,91,15000,294,194,15700,59000,0.8800000000000001,329691196,0,55000000,1994
89,29659,88,227,81,321,101,92,584,1000,0.51,22168359,0,8000000,1989
118,171882,80,292,529,40000,29000,472,69746,14000,0.78,9170214,1,11000000,1993
73,2045,44,37,11,1000,436,142,2020,339,0.58,11634458,0,17000000,1999
116,3536,31,44,500,12000,1000,530,14579,228,0.63,1292527,2,19000000,1996
121,45455,145,388,357,820,780,653,2705,7000,0.5,31704416,0,135000000,2005
112,41361,63,148,277,1000,530,327,2412,7000,0.73,62549000,0,2300000,1992
94,67296,178,133,62,14000,12000,722,27842,7000,0.58,103812241,3,79000000,2012
118,2676,41,33,50,968,844,655,4270,7000,0.7,1089445,0,12500000,2009
125,683,12,3,21,78,61,36,221,874,0.62,169379,1,10000000,2013
101,162701,80,962,163,683,548,488,2436,19000,0.74,41227069,1,11000000,2002
156,406020,556,1188,91,29000,27000,733,57108,190000,0.8099999999999999,183635922,0,135000000,2015
82,39095,122,187,82,759,401,354,2898,16000,0.35,36658108,7,20000000,2010
98,45775,74,112,41,13000,2000,900,18085,462,0.55,16323969,5,40000000,2004
104,43205,168,232,214,1000,509,430,2129,7000,0.74,1900725,1,2000000,2005
114,43027,75,214,91,524,517,452,2668,7000,0.6799999999999999,65000000,0,62000000,1995
114,147497,358,499,62,12000,2000,884,16718,52000,0.61,155181732,0,110000000,2015
105,48095,66,194,29,14000,1000,742,16400,7000,0.58,35990505,1,20000000,2003
89,761,23,14,269,489,26,24,539,26,0.6599999999999999,2223990,1,3000000,2003
120,97664,275,232,91,4000,904,680,5826,17000,0.5700000000000001,134455175,2,35000000,2013
92,56168,53,103,39,3000,562,458,4518,5000,0.54,105263257,0,55000000,1997
111,166610,230,211,545,26000,872,805,28643,7000,0.64,36064910,4,45000000,2008
121,8058,91,57,57,1000,837,664,3745,7000,0.6599999999999999,21569041,2,9000000,2014
105,21079,15,55,121,11000,3000,384,14677,818,0.52,13854000,0,20000000,1988
121,4670,63,27,91,974,643,187,1887,7000,0.6,127437,0,18000000,2011
107,62421,123,185,30,742,360,318,2341,10000,0.58,62933793,1,20000000,2010
123,118992,418,971,452,10000,336,329,11287,80000,0.6900000000000001,161087183,8,175000000,2016
112,21613,109,148,11000,11000,650,642,12766,762,0.6599999999999999,4839383,0,16000000,2002
172,6082,78,207,438,852,637,466,2397,853,0.5900000000000001,22843047,1,55000000,1998
142,31227,85,354,91,978,911,854,5386,7000,0.6599999999999999,19283782,0,22000000,1999
115,12596,50,64,49,116,110,100,525,7000,0.67,30127963,0,15000000,2014
107,58297,112,161,13,618,172,165,1095,7000,0.6599999999999999,21835784,3,30000000,2005
87,385943,304,296,275,7000,2000,975,11608,31000,0.77,251501645,0,69000000,2010
129,113065,166,337,468,919,691,183,2024,7000,0.6900000000000001,37567440,0,20000000,1982
89,46205,78,147,91,1000,627,500,3096,7000,0.58,9652000,0,40000000,2003
113,5744,61,57,9,402,222,42,787,381,0.71,9054736,1,2700000,1997
112,16445,111,99,63,2000,1000,422,4810,7000,0.61,26345,4,3000000,2012
133,91860,156,524,278,5000,117,107,5405,14000,0.74,24343673,0,45000000,2007
116,74274,103,255,91,8000,3000,995,12790,7000,0.55,152149590,2,70000000,1999
95,4598,28,29,48,1000,865,826,4837,375,0.61,14003141,1,7000000,1999
88,60295,110,232,387,436,25,18,479,7000,0.74,7362100,0,1500000,2005
98,63108,183,330,58,14000,537,242,15251,15000,0.5900000000000001,25464480,0,10000000,2009
100,94292,192,287,91,3000,2000,985,7252,13000,0.64,18439082,3,18500000,2009
121,4603,81,91,16,907,585,526,3633,489,0.62,12549485,4,15000000,2006
102,101411,85,546,323,845,372,241,1815,7000,0.6599999999999999,32694788,1,85000000,1999
109,181025,355,336,453,15000,10000,953,27788,38000,0.77,40983001,2,7000000,2012
109,286178,208,631,64,11000,11000,505,23923,7000,0.6799999999999999,124732962,0,35000000,2006
149,50311,75,212,15000,15000,9000,982,28713,7000,0.6900000000000001,25809813,6,26000000,1996
107,92599,290,225,78,18000,2000,969,22834,21000,0.71,5354039,8,3500000,2011
212,23996,83,161,91,12000,5000,805,21130,915,0.71,13560960,0,50000000,1995
90,83234,440,475,91,33000,1000,428,34779,30000,0.5700000000000001,778565,1,4800000,2013
96,6200,38,92,9,12000,11000,934,26961,398,0.5599999999999999,6044618,1,10000000,2002
104,138707,93,202,91,16000,12000,4000,33758,7000,0.72,25625110,0,7000000,1995
120,124941,195,488,91,865,851,221,2321,7000,0.61,101334374,5,24000000,1997
95,30771,46,164,19,1000,691,447,2643,7000,0.48,33422806,1,50000000,2001
110,50148,38,116,49,13000,279,20,13331,7000,0.54,57362581,2,45000000,1994
75,8693,93,71,91,4000,769,677,6863,261,0.45,15519841,3,47000000,2006
130,106528,80,257,323,670,442,330,2407,7000,0.62,50016394,1,70000000,1993
104,108076,170,1690,14,3000,762,203,4487,7000,0.51,75030163,0,100000000,2006
106,39260,259,129,50,17000,908,741,21711,7000,0.6599999999999999,3571735,2,10000000,2010
95,24089,156,82,25,989,664,439,2558,7000,0.55,108012170,0,63000000,2011
108,77415,100,139,287,4000,835,823,8610,7000,0.61,53955614,0,40000000,1998
116,33567,159,206,153,275,247,165,727,7000,0.74,22201636,1,8000000,2005
151,472488,568,1023,91,13000,801,372,14831,153000,0.8099999999999999,228430993,1,108000000,2015
106,2742,38,73,91,254,147,131,964,72,0.7,1027119,1,225000,2000
84,55928,141,157,180,510,297,58,962,7000,0.72,1197786,2,12000000,2004
154,317166,190,928,380,10000,956,445,11945,7000,0.77,111110575,1,140000000,2003
100,37785,58,95,91,828,531,65,1431,2000,0.72,24741700,2,1200000,1989
129,273108,230,646,91,18000,412,277,19148,7000,0.76,88504640,2,45000000,2006
130,181737,206,1015,91,13000,1000,769,16693,10000,0.74,30651422,8,10000000,1999
108,1747,44,28,28,1000,664,429,3852,353,0.75,505295,0,1800000,2003
133,146364,239,237,549,10000,796,343,11799,27000,0.74,21129348,0,35000000,2010
109,35990,157,157,80,14000,4000,835,20503,7000,0.5900000000000001,13838130,3,40000000,2009
82,36029,147,99,87,1000,581,444,3818,14000,0.61,6842058,0,10000000,2012
147,154487,73,259,272,22000,11000,893,37076,7000,0.75,53300852,3,44000000,1996
126,20449,136,370,37,12000,10000,883,25660,1000,0.7,17804273,0,20000000,2000
94,76467,91,236,6,16000,1000,804,19957,7000,0.6799999999999999,16101109,3,3000000,2005
112,59352,176,138,72,11000,1000,715,13827,7000,0.5599999999999999,70224196,0,70000000,2008
111,97838,143,286,906,1000,1000,906,6315,3000,0.76,92001027,2,45000000,1996
138,264047,449,491,91,18000,984,874,20952,64000,0.73,93749203,0,31000000,2012
96,110432,117,309,65,12000,11000,828,26826,7000,0.58,126203320,1,50000000,2002
105,68417,114,242,61,5000,827,708,7184,7000,0.51,93815117,2,55000000,2002
104,23767,137,111,272,22000,18000,17000,71973,845,0.5700000000000001,1089365,1,25000000,2008
97,14018,110,190,91,378,321,117,1173,682,0.67,7022940,1,1000000,2001
99,3579,61,14,29,117,64,64,298,7000,0.6900000000000001,19959,2,3800000,2009
109,60555,167,174,22,14000,716,355,15790,7000,0.62,13248477,1,27000000,2009
118,102248,371,403,91,13000,13000,559,27674,34000,0.61,78031620,7,70000000,2014
98,12263,58,132,70,462,444,223,1855,564,0.46,15361537,0,13000000,2002
103,22649,46,212,80,1000,872,782,4676,1000,0.5900000000000001,10411980,0,15000000,2004
107,38191,109,271,91,969,449,112,1775,7000,0.64,18090181,0,8000000,1994
99,6921,48,48,220,812,787,599,3337,344,0.6599999999999999,1227324,3,12500000,1996
101,145395,486,375,91,13000,898,726,15230,23000,0.73,4000304,0,6500000,2011
97,67604,130,218,272,22000,4000,957,29252,12000,0.71,43022524,0,15000000,1997
85,19986,99,186,91,1000,1000,849,4289,7000,0.6599999999999999,2199853,1,1200000,1999
138,887467,185,916,438,12000,826,173,13184,40000,0.86,130727000,0,19000000,1991
103,47968,218,154,11,2000,1000,543,5497,35000,0.64,80021740,4,58000000,2015
95,1268,66,23,8,529,423,399,2749,195,0.62,17580,3,1500000,2009
90,55008,161,93,12,786,651,587,2462,21000,0.63,35033759,4,19000000,2011
96,87739,45,133,37,801,760,542,3113,7000,0.67,81200000,0,4500000,1984
192,1215718,328,3189,91,5000,857,416,6434,16000,0.89,377019252,2,94000000,2003
107,16411,160,136,91,798,374,255,2537,7000,0.48,14637490,2,25000000,2010
87,11257,98,65,9,15000,2000,1000,20061,7000,0.42,33643461,0,50000000,2010
90,160440,127,394,420,191,165,141,664,7000,0.6599999999999999,226138454,2,90000000,2001
106,17443,25,56,323,472,47,429,519,694,0.6,45500797,2,40000000,1992
110,96690,146,293,9,485,110,95,939,7000,0.6599999999999999,56932305,2,55000000,2000
102,85237,208,274,234,20000,11000,11000,45202,18000,0.5599999999999999,21557240,3,49900000,2011
114,22797,45,96,73,695,654,563,3444,7000,0.6,15100000,1,15000000,1984
135,41685,146,754,91,3000,1000,715,5917,3000,0.7,29077547,1,40000000,2005
123,42315,57,140,36,10000,1000,631,12338,7000,0.6599999999999999,32051917,0,20000000,1995
89,58300,82,139,10,2000,919,442,3372,7000,0.6900000000000001,50802661,1,95000000,2000
102,148221,481,316,338,1000,342,60,1445,51000,0.76,4105123,0,1100000,2011
85,132,17,2,91,49000,931,924,54484,87,0.62,7826,10,1200000,2007
153,451803,599,1225,464,15000,10000,963,28489,56000,0.7,262030663,0,230000000,2012
123,223393,436,550,258,16000,368,326,17657,24000,0.5599999999999999,116593191,2,200000000,2011
119,9689,30,23,5,29,18,12,86,1000,0.78,4958,2,2000000,2008
93,65499,147,424,189,1000,177,38,1267,7000,0.5599999999999999,82226474,0,65000000,2006
96,20885,158,60,31,804,625,328,3013,7000,0.61,3590010,0,2000000,2015
77,3851,31,114,3,787,690,593,2185,346,0.28,7382993,0,20000000,2006
98,11074,40,56,7,289,38,17,362,442,0.74,95016,0,2700000,2004
88,42765,68,93,34,642,533,445,2501,7000,0.6,78656813,0,25000000,1991
91,18042,118,73,39,1000,591,562,3104,7000,0.5900000000000001,55747724,1,55000000,2013
186,12053,116,119,50,13000,1000,338,14638,7000,0.65,46495,1,14000000,2011
98,29994,68,86,36,10000,692,405,11770,7000,0.6900000000000001,117190,4,8000000,2010
107,42614,50,120,58,549,439,316,1747,7000,0.6799999999999999,44726644,5,13000000,1988
91,31130,151,243,244,538,363,244,1349,7000,0.74,3885134,0,2000000,2005
178,886204,723,3054,91,1000,936,855,4834,33000,0.79,760505847,0,237000000,2009
101,51326,132,116,17,35000,966,429,36892,8000,0.65,34017854,4,8500000,2015
101,106098,163,150,16,943,769,472,2786,20000,0.72,6350058,3,8000000,2010
107,47297,138,86,209,2000,594,357,4059,16000,0.62,42385520,0,30000000,2010
91,739,28,10,91,472,185,170,1047,339,0.65,12055,2,500000,2007
119,219008,123,418,91,22000,371,188,22767,7000,0.79,76270454,1,25000000,1987
97,53415,140,339,131,23000,81,62,23242,7000,0.6599999999999999,21973182,2,23000000,2001
125,189855,183,1018,541,920,890,409,2699,7000,0.37,107285004,3,125000000,1997
129,161168,335,287,91,12000,412,385,13573,43000,0.65,49874933,4,26000000,2013
117,2395,49,17,138,908,581,416,3204,636,0.5700000000000001,134904,9,25000000,2010
90,26609,135,148,5,449,332,297,1534,7000,0.52,25926543,1,8000000,2008
93,21530,111,159,16,567,326,258,1775,618,0.61,4919896,1,13000000,2001
165,79186,174,386,91,10000,851,780,14196,7000,0.6799999999999999,58183966,1,107000000,2001
113,18632,138,354,319,1000,65,48,1171,656,0.53,4717455,0,12000000,2003
92,47169,264,162,30,941,459,309,2348,17000,0.5900000000000001,49122319,0,14000000,2012
122,333847,470,2054,14000,11000,1000,1000,14959,5000,0.62,317011114,2,185000000,2008
109,9424,55,109,78,854,841,619,3394,7000,0.6900000000000001,33000000,1,10000000,1985
121,50656,125,416,91,989,888,244,2365,7000,0.75,16311763,1,17000000,1998
126,27191,100,232,226,12000,509,241,13406,7000,0.65,34098563,1,55000000,1999
81,143251,241,710,91,12000,11000,836,25489,7000,0.77,22245861,0,19000000,2002
95,20295,66,164,31,3000,695,683,6161,416,0.38,4411102,1,100000000,2002
109,9004,105,103,277,2000,378,345,2759,287,0.6599999999999999,3517797,0,25000000,2002
127,19126,37,155,16,565,441,399,1735,7000,0.67,35422828,1,20000000,1997
109,39391,94,171,88,611,592,571,2818,374,0.43,123307945,1,65000000,2000
105,74630,159,156,56,898,60,22,1026,13000,0.65,53021560,1,30000000,2010
101,10771,25,65,91,240,83,83,490,413,0.64,10696,8,6800000,2003
94,23928,34,100,36,13000,828,507,15183,7000,0.6599999999999999,13801755,1,20000000,1997
114,94407,110,322,52,12000,702,539,13905,7000,0.67,78745923,1,55000000,1998
124,103241,141,742,130,4000,973,841,6181,5000,0.71,78120196,0,75000000,2002
129,23480,113,83,51,427,234,89,952,21000,0.74,44469602,0,17000000,2015
86,14621,69,48,89,986,713,511,4073,7000,0.47,17314483,2,4000000,2014
120,5166,78,27,2,809,521,80,1651,815,0.73,634277,1,16000000,2007
86,12160,82,73,8,2000,424,357,3071,307,0.6900000000000001,5518918,0,750000,2007
91,7159,42,88,23,925,660,629,2913,247,0.5,10443316,2,15000000,1998
236,186485,92,382,91,933,839,232,2398,7000,0.8,184208848,1,22000000,1990
115,30077,114,175,73,11000,3000,505,15571,893,0.63,41543207,1,42000000,2002
95,9750,109,66,91,227,4,429,231,7000,0.72,1060591,0,1300000,2007
101,19234,159,258,365,237,28,14,302,7000,0.55,8025872,3,4700000,1986
154,88844,56,142,521,10000,1000,957,14244,7000,0.6799999999999999,158348400,0,42000000,1993
106,86902,131,411,212,578,563,389,2544,7000,0.64,59068786,2,40000000,2001
101,2189,24,31,31,690,457,448,1993,7000,0.46,6448817,0,35000000,1997
104,1177,31,10,10,507,236,196,1281,7000,0.6,143653,0,4000000,2014
80,16385,143,100,40,3000,642,375,4394,7000,0.46,100169068,0,80000000,2010
89,25960,140,389,19,526,392,349,1383,1000,0.41,46363118,0,20000000,2005
89,31915,183,159,10,852,707,704,5056,18000,0.4400000000000001,50820940,0,5000000,2014
97,3911,39,22,5,1000,426,349,2739,7000,0.53,2557668,1,2000000,2015
107,51459,60,113,71,967,455,304,1962,7000,0.65,80000000,0,8200000,1984
100,21468,285,164,91,640,550,389,2082,12000,0.54,7186670,0,6000000,2013
100,72867,140,120,126,19000,1000,925,25206,7000,0.54,47000485,2,75000000,2010
128,50041,117,116,88,989,970,954,3386,23000,0.71,37432299,0,34000000,2015
89,12339,52,32,91,555,484,405,1752,256,0.29,13235267,2,6000000,2007
96,35586,104,131,11000,11000,474,223,11867,7000,0.74,10569071,2,20000000,1997
114,53132,61,101,357,13000,10000,366,25126,7000,0.58,32885565,0,80000000,1996
106,15310,52,38,167,966,807,676,4830,3000,0.5700000000000001,65182182,8,24000000,2014
107,100821,102,554,368,2000,1000,1000,4046,7000,0.48,100685880,0,120000000,2003
90,38248,103,250,6,1000,650,458,2666,7000,0.61,31585300,0,15000000,2005
109,7116,66,79,200,21000,18000,1000,41645,494,0.5599999999999999,336456,2,8000000,2003
92,28041,177,111,89,17000,329,190,17860,7000,0.6,55291815,0,35000000,2016
105,24977,127,229,386,3000,258,248,4238,7000,0.75,6390032,2,3500000,1998
89,27882,46,130,373,36,35,27,100,7000,0.85,925402,0,180000,1997
86,12559,72,90,94,693,534,146,1373,423,0.64,333976,0,12000000,2002
105,342,9,15,28,426,294,131,1043,7000,0.47,123777,0,3500000,2016
156,383056,392,1902,91,24000,11000,4000,46055,7000,0.62,336530303,0,258000000,2007
110,108843,324,281,91,17000,15000,11000,46646,54000,0.61,113709992,1,7000000,2012
83,24958,17,103,3,16000,542,421,17469,321,0.33,126247,0,6200000,1994
117,200359,226,1009,91,15000,1000,818,16828,7000,0.77,104054514,0,80000000,2002
106,60232,161,110,34,3000,1000,466,5329,7000,0.61,17281832,3,60000000,2008
103,45890,139,177,91,629,561,504,2730,7000,0.7,42365600,0,5000000,1981
102,113918,153,165,22,1000,954,816,4065,7000,0.6599999999999999,38087366,2,12000000,2008
88,15880,75,93,5,11000,387,338,11972,288,0.4900000000000001,6471394,5,50000000,2004
92,219501,198,1236,394,693,595,527,2574,7000,0.5900000000000001,181166115,0,93000000,2001
90,106909,108,268,29,22000,923,650,24534,7000,0.5900000000000001,87856565,1,42000000,2004
121,134625,361,265,175,963,580,221,2131,40000,0.71,43247140,0,55000000,2015
96,26767,148,121,11,805,173,150,1411,7000,0.51,16027866,0,25000000,2015
107,56813,183,381,737,6000,718,678,8094,7000,0.67,12784713,11,22000000,2004
131,29715,117,161,53,14000,871,548,16252,7000,0.71,3752725,3,18000000,2004
136,259519,117,431,138,18000,14000,9000,45271,11000,0.75,60984028,2,57000000,1997
116,175960,362,360,91,15000,509,104,15735,43000,0.73,45434443,2,75000000,2015
102,19686,106,180,43,308,285,280,1440,689,0.5599999999999999,24044532,0,38000000,2001
138,355137,329,1108,282,21000,11000,687,33433,7000,0.75,292000866,3,150000000,2007
81,207934,216,629,541,991,465,328,2562,7000,0.71,46563158,0,13000000,2002
122,47203,131,197,151,24000,15000,11000,50950,7000,0.6799999999999999,9664316,2,27500000,2007
143,131227,272,346,285,11000,8000,7000,28176,41000,0.63,2175312,2,50000000,2013
94,114610,61,176,122,1000,619,617,4263,7000,0.7,121697350,2,20000000,1992
97,19709,92,167,956,20000,551,99,20798,7000,0.61,27338033,3,23000000,2001
91,40618,248,144,263,967,289,192,1582,7000,0.7,2221809,0,5000000,2010
103,36321,169,230,2,2000,508,226,3192,7000,0.74,9013113,2,1000000,2005
111,159198,417,438,456,157,33,21,257,38000,0.6799999999999999,40247512,0,30000000,2011
142,701607,673,1959,378,34000,14000,575,49942,140000,0.73,407999255,0,78000000,2012
108,61018,97,140,79,900,759,25,1715,7000,0.58,60054449,0,35000000,1995
103,44103,98,149,80,806,591,585,3211,7000,0.53,17324744,3,28000000,2006
112,93367,103,497,109,779,629,261,1823,7000,0.64,56607223,8,48000000,2001
100,32103,177,112,11,23000,727,561,25387,7000,0.5700000000000001,20285518,2,28000000,2014
82,52052,121,173,82,1000,642,418,3266,7000,0.45,25871834,6,35000000,2008
140,208817,159,296,2000,15000,968,552,17171,5000,0.76,172071312,0,62000000,1995
81,15047,43,160,54,8000,670,636,10792,2000,0.5,30628981,1,14000000,1999
206,138863,248,1390,91,12000,11000,591,24598,7000,0.55,34293771,3,155000000,2004
86,18566,218,154,9,120,44,32,218,7000,0.53,12555230,0,2000000,2011
122,64944,280,212,91,12000,463,407,13809,6000,0.67,1697956,2,20000000,2009
121,307539,308,577,91,21000,1000,918,23484,7000,0.7,110416702,3,92000000,2008
108,4360,47,148,2,772,232,30,1058,1000,0.7,11703287,3,10000000,2005
92,16646,66,104,226,1000,851,580,3931,7000,0.67,21088568,1,13000000,1995
97,96693,129,271,70,2000,528,512,3984,7000,0.61,110222438,2,26000000,2003
99,62468,164,374,192,347,301,282,1254,7000,0.7,21133087,0,12000000,1999
76,1727,21,21,91,991,575,62,1661,46,0.64,212285,1,250000,1996
128,61114,364,212,151,1000,1000,852,3869,22000,0.75,52066000,0,20000000,2014
101,81783,72,283,545,1000,1000,545,3816,7000,0.58,70360285,0,18000000,1995
85,56874,140,358,91,21000,860,490,22458,7000,0.64,66365290,2,55000000,1999
108,583341,334,626,480,14000,839,706,17623,24000,0.78,277313371,3,35000000,2009
103,48999,151,280,189,3000,967,766,6563,7000,0.6,7948159,1,35000000,2008
143,243799,285,908,91,11000,119,51,11248,7000,0.75,34300771,3,25000000,2006
101,77987,181,120,8,544,449,110,1292,7000,0.61,27758465,2,19000000,2010
109,270228,238,194,87,15000,3000,923,20956,41000,0.6599999999999999,55802754,2,35000000,2011
94,39798,29,69,23,400,255,148,1044,7000,0.5900000000000001,79817937,1,25000000,1986
147,178126,94,511,91,10000,898,877,12954,7000,0.6599999999999999,138396624,1,130000000,2003
93,7988,82,71,78,536,317,197,1467,7000,0.53,200803,3,3000000,2012
93,18109,133,150,187,631,163,158,1176,7000,0.63,197148,0,7500000,2003
106,109214,318,269,91,852,618,482,2975,35000,0.6599999999999999,83574831,0,5000000,2013
99,155532,166,543,57,20000,3000,820,25942,7000,0.65,69772969,4,80000000,2001
94,52244,131,377,383,13000,1000,886,15857,7000,0.6599999999999999,22751979,0,75000000,2000
129,86422,209,363,438,18000,1000,502,20056,7000,0.6599999999999999,65948711,1,80000000,2004
108,26100,110,97,480,970,931,579,4374,484,0.5900000000000001,17803796,1,20000000,2006
105,82327,331,350,58,11000,1000,583,12894,18000,0.64,29959436,1,13000000,2011
101,5936,49,91,3,14000,1000,826,17665,242,0.5700000000000001,1631839,0,10000000,2000
86,11156,34,67,7,10000,908,795,14275,7000,0.62,22717758,0,40000000,1998
154,239540,140,462,16000,22000,1000,889,25522,7000,0.75,39647595,5,12000000,1997
92,585659,250,593,91,12000,1000,773,15013,7000,0.8099999999999999,289907418,0,115000000,2001
100,5187,52,64,365,425,394,225,1661,902,0.55,4884663,0,12000000,1986
178,110394,209,433,138,904,876,748,5074,7000,0.77,75305995,0,40000000,2004
115,80580,55,375,293,49000,22000,878,74382,7000,0.67,135014968,1,50000000,1998
110,171151,126,513,42,355,155,111,911,7000,0.6799999999999999,14589444,2,25000000,2004
108,83786,97,392,72,982,935,559,4251,7000,0.61,127214072,1,38000000,2002
108,38513,214,127,218,6000,3000,405,10191,9000,0.6799999999999999,9528092,2,22000000,2010
95,3229,23,20,2,927,912,807,4990,83,0.41,4006906,7,15000000,2005
94,67191,189,108,70,1000,549,497,2820,14000,0.6,68218041,1,55000000,2011
89,27297,279,131,33,470,378,118,1233,7000,0.61,12843,0,6000000,2012
113,58184,167,805,101,14000,960,913,17786,7000,0.4900000000000001,91188905,0,80000000,1999
111,6318,78,50,62,89,13,6,115,817,0.74,94596,0,1000000,1997
98,45992,217,115,91,925,472,374,1997,7000,0.71,9430988,2,17000000,2009
124,24826,56,175,179,11000,617,551,13093,783,0.6,8406264,3,38000000,1999
133,74009,117,317,46,683,349,275,2371,7000,0.6599999999999999,34667015,0,32000000,1989
