color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes
Black and White,149,142,91,194,15000,329691196,1251222,15700,0,1398,English,USA,PG-13,55000000,1994,294,0.88,59000
Black and White,88,89,81,92,321,22168359,29659,584,0,227,English,USA,NC-17,8000000,1989,101,0.51,1000
Color,80,118,529,472,40000,9170214,171882,69746,1,292,English,USA,PG-13,11000000,1993,29000,0.78,14000
Color,44,73,11,142,1000,11634458,2045,2020,0,37,English,USA,G,17000000,1999,436,0.58,339
Color,31,116,500,530,12000,1292527,3536,14579,2,44,English,France,R,19000000,1996,1000,0.63,228
Color,145,121,357,653,820,31704416,45455,2705,0,388,English,USA,PG-13,135000000,2005,780,0.5,7000
Color,63,112,277,327,1000,62549000,41361,2412,0,148,English,UK,R,2300000,1992,530,0.73,7000
Color,178,94,62,722,14000,103812241,67296,27842,3,133,English,USA,PG,79000000,2012,12000,0.58,7000
Black and White,41,118,50,655,968,1089445,2676,4270,0,33,English,Canada,PG,12500000,2009,844,0.7,7000
Color,12,125,21,36,78,169379,683,221,1,3,Spanish,Mexico,R,10000000,2013,61,0.62,874
Color,80,101,163,488,683,41227069,162701,2436,1,962,English,USA,PG,11000000,2002,548,0.74,19000
Color,556,156,91,733,29000,183635922,406020,57108,0,1188,English,USA,R,135000000,2015,27000,0.81,190000
Color,122,82,82,354,759,36658108,39095,2898,7,187,English,USA,PG-13,20000000,2010,401,0.35,16000
Color,74,98,41,900,13000,16323969,45775,18085,5,112,English,USA,PG-13,40000000,2004,2000,0.55,462
Color,168,104,214,430,1000,1900725,43205,2129,1,232,English,Australia,R,2000000,2005,509,0.74,7000
Color,75,114,91,452,524,65000000,43027,2668,0,214,English,USA,PG-13,62000000,1995,517,0.68,7000
Color,358,114,62,884,12000,155181732,147497,16718,0,499,English,USA,PG-13,110000000,2015,2000,0.61,52000
Color,66,105,29,742,14000,35990505,48095,16400,1,194,English,USA,PG,20000000,2003,1000,0.58,7000
Color,23,89,269,24,489,2223990,761,539,1,14,English,USA,R,3000000,2003,26,0.66,26
Color,275,120,91,680,4000,134455175,97664,5826,2,232,English,USA,R,35000000,2013,904,0.57,17000
Color,53,92,39,458,3000,105263257,56168,4518,0,103,English,USA,PG,55000000,1997,562,0.54,5000
Color,230,111,545,805,26000,36064910,166610,28643,4,211,English,USA,R,45000000,2008,872,0.64,7000
Color,91,121,57,664,1000,21569041,8058,3745,2,57,English,USA,PG-13,9000000,2014,837,0.66,7000
Color,15,105,121,384,11000,13854000,21079,14677,0,55,English,USA,PG-13,20000000,1988,3000,0.52,818
Color,63,121,91,187,974,127437,4670,1887,0,27,Mandarin,China,R,18000000,2011,643,0.6,7000
Color,123,107,30,318,742,62933793,62421,2341,1,185,English,USA,PG,20000000,2010,360,0.58,10000
Color,418,123,452,329,10000,161087183,118992,11287,8,971,English,USA,PG-13,175000000,2016,336,0.69,80000
Color,109,112,11000,642,11000,4839383,21613,12766,0,148,English,USA,PG-13,16000000,2002,650,0.66,762
Color,78,172,438,466,852,22843047,6082,2397,1,207,English,USA,R,55000000,1998,637,0.59,853
Color,85,142,91,854,978,19283782,31227,5386,0,354,English,USA,R,22000000,1999,911,0.66,7000
Color,50,115,49,100,116,30127963,12596,525,0,64,English,USA,PG,15000000,2014,110,0.67,7000
Color,112,107,13,165,618,21835784,58297,1095,3,161,English,USA,PG-13,30000000,2005,172,0.66,7000
Color,304,87,275,975,7000,251501645,385943,11608,0,296,English,USA,PG,69000000,2010,2000,0.77,31000
Color,166,129,468,183,919,37567440,113065,2024,0,337,English,USA,R,20000000,1982,691,0.69,7000
Color,78,89,91,500,1000,9652000,46205,3096,0,147,English,USA,PG-13,40000000,2003,627,0.58,7000
Color,61,113,9,42,402,9054736,5744,787,1,57,English,USA,R,2700000,1997,222,0.71,381
Color,111,112,63,422,2000,26345,16445,4810,4,99,English,UK,R,3000000,2012,1000,0.61,7000
Color,156,133,278,107,5000,24343673,91860,5405,0,524,English,USA,PG-13,45000000,2007,117,0.74,14000
Color,103,116,91,995,8000,152149590,74274,12790,2,255,English,USA,PG,70000000,1999,3000,0.55,7000
Color,28,95,48,826,1000,14003141,4598,4837,1,29,English,USA,R,7000000,1999,865,0.61,375
Color,110,88,387,18,436,7362100,60295,479,0,232,English,USA,R,1500000,2005,25,0.74,7000
Color,183,98,58,242,14000,25464480,63108,15251,0,330,English,USA,PG-13,10000000,2009,537,0.59,15000
Color,192,100,91,985,3000,18439082,94292,7252,3,287,English,USA,PG-13,18500000,2009,2000,0.64,13000
Color,81,121,16,526,907,12549485,4603,3633,4,91,English,USA,R,15000000,2006,585,0.62,489
Color,85,102,323,241,845,32694788,101411,1815,1,546,English,USA,R,85000000,1999,372,0.66,7000
Color,355,109,453,953,15000,40983001,181025,27788,2,336,English,USA,R,7000000,2012,10000,0.77,38000
Color,208,109,64,505,11000,124732962,286178,23923,0,631,English,USA,PG-13,35000000,2006,11000,0.68,7000
Color,75,149,15000,982,15000,25809813,50311,28713,6,212,English,USA,PG,26000000,1996,9000,0.69,7000
Color,290,107,78,969,18000,5354039,92599,22834,8,225,English,USA,R,3500000,2011,2000,0.71,21000
Black and White,83,212,91,805,12000,13560960,23996,21130,0,161,English,USA,R,50000000,1995,5000,0.71,915
Color,440,90,91,428,33000,778565,83234,34779,1,475,English,Denmark,R,4800000,2013,1000,0.57,30000
Color,38,96,9,934,12000,6044618,6200,26961,1,92,English,USA,R,10000000,2002,11000,0.56,398
Color,93,104,91,4000,16000,25625110,138707,33758,0,202,English,USA,R,7000000,1995,12000,0.72,7000
Color,195,120,91,221,865,101334374,124941,2321,5,488,English,USA,R,24000000,1997,851,0.61,7000
Color,46,95,19,447,1000,33422806,30771,2643,1,164,English,USA,PG-13,50000000,2001,691,0.48,7000
Color,38,110,49,20,13000,57362581,50148,13331,2,116,English,Peru,R,45000000,1994,279,0.54,7000
Color,93,75,91,677,4000,15519841,8693,6863,3,71,English,USA,PG,47000000,2006,769,0.45,261
Color,80,130,323,330,670,50016394,106528,2407,1,257,English,USA,PG-13,70000000,1993,442,0.62,7000
Black and White,170,104,14,203,3000,75030163,108076,4487,0,1690,English,USA,PG,100000000,2006,762,0.51,7000
Color,259,106,50,741,17000,3571735,39260,21711,2,129,English,USA,R,10000000,2010,908,0.66,7000
Color,156,95,25,439,989,108012170,24089,2558,0,82,English,USA,PG,63000000,2011,664,0.55,7000
Color,100,108,287,823,4000,53955614,77415,8610,0,139,English,USA,PG-13,40000000,1998,835,0.61,7000
Color,159,116,153,165,275,22201636,33567,727,1,206,English,USA,R,8000000,2005,247,0.74,7000
Color,568,151,91,372,13000,228430993,472488,14831,1,1023,English,USA,PG-13,108000000,2015,801,0.81,153000
Color,38,106,91,131,254,1027119,2742,964,1,73,English,USA,R,225000,2000,147,0.7,72
Color,141,84,180,58,510,1197786,55928,962,2,157,French,France,R,12000000,2004,297,0.72,7000
Color,190,154,380,445,10000,111110575,317166,11945,1,928,English,USA,R,140000000,2003,956,0.77,7000
Color,58,100,91,65,828,24741700,37785,1431,2,95,English,USA,R,1200000,1989,531,0.72,2000
Color,230,129,91,277,18000,88504640,273108,19148,2,646,English,USA,R,45000000,2006,412,0.76,7000
Color,206,130,91,769,13000,30651422,181737,16693,8,1015,English,USA,R,10000000,1999,1000,0.74,10000
Color,44,108,28,429,1000,505295,1747,3852,0,28,Dzongkha,Australia,R,1800000,2003,664,0.75,353
Color,239,133,549,343,10000,21129348,146364,11799,0,237,English,USA,PG-13,35000000,2010,796,0.74,27000
Color,157,109,80,835,14000,13838130,35990,20503,3,157,English,USA,PG-13,40000000,2009,4000,0.59,7000
Color,147,82,87,444,1000,6842058,36029,3818,0,99,English,USA,R,10000000,2012,581,0.61,14000
Black and White,73,147,272,893,22000,53300852,154487,37076,3,259,English,USA,R,44000000,1996,11000,0.75,7000
Color,136,126,37,883,12000,17804273,20449,25660,0,370,English,USA,R,20000000,2000,10000,0.7,1000
Color,91,94,6,804,16000,16101109,76467,19957,3,236,English,USA,R,3000000,2005,1000,0.68,7000
Color,176,112,72,715,11000,70224196,59352,13827,0,138,English,USA,PG-13,70000000,2008,1000,0.56,7000
Color,143,111,906,906,1000,92001027,97838,6315,2,286,English,USA,PG-13,45000000,1996,1000,0.76,3000
Color,449,138,91,874,18000,93749203,264047,20952,0,491,English,USA,R,31000000,2012,984,0.73,64000
Color,117,96,65,828,12000,126203320,110432,26826,1,309,English,USA,PG-13,50000000,2002,11000,0.58,7000
Color,114,105,61,708,5000,93815117,68417,7184,2,242,English,USA,PG-13,55000000,2002,827,0.51,7000
Color,137,104,272,17000,22000,1089365,23767,71973,1,111,English,USA,R,25000000,2008,18000,0.57,845
Color,110,97,91,117,378,7022940,14018,1173,1,190,English,USA,R,1000000,2001,321,0.67,682
Color,61,99,29,64,117,19959,3579,298,2,14,English,Iceland,R,3800000,2009,64,0.69,7000
Color,167,109,22,355,14000,13248477,60555,15790,1,174,English,USA,R,27000000,2009,716,0.62,7000
Color,371,118,91,559,13000,78031620,102248,27674,7,403,English,USA,PG-13,70000000,2014,13000,0.61,34000
Color,58,98,70,223,462,15361537,12263,1855,0,132,English,Germany,PG-13,13000000,2002,444,0.46,564
Color,46,103,80,782,1000,10411980,22649,4676,0,212,English,USA,PG,15000000,2004,872,0.59,1000
Color,109,107,91,112,969,18090181,38191,1775,0,271,English,USA,R,8000000,1994,449,0.64,7000
Color,48,99,220,599,812,1227324,6921,3337,3,48,English,USA,R,12500000,1996,787,0.66,344
Color,486,101,91,726,13000,4000304,145395,15230,0,375,English,UK,NC-17,6500000,2011,898,0.73,23000
Color,130,97,272,957,22000,43022524,67604,29252,0,218,English,USA,R,15000000,1997,4000,0.71,12000
Color,99,85,91,849,1000,2199853,19986,4289,1,186,English,USA,R,1200000,1999,1000,0.66,7000
Color,185,138,438,173,12000,130727000,887467,13184,0,916,English,USA,R,19000000,1991,826,0.86,40000
Color,218,103,11,543,2000,80021740,47968,5497,4,154,English,USA,PG,58000000,2015,1000,0.64,35000
Color,66,95,8,399,529,17580,1268,2749,3,23,English,USA,R,1500000,2009,423,0.62,195
Color,161,90,12,587,786,35033759,55008,2462,4,93,English,USA,R,19000000,2011,651,0.63,21000
Color,45,96,37,542,801,81200000,87739,3113,0,133,English,USA,R,4500000,1984,760,0.67,7000
Color,328,192,91,416,5000,377019252,1215718,6434,2,3189,English,USA,PG-13,94000000,2003,857,0.89,16000
Color,160,107,91,255,798,14637490,16411,2537,2,136,English,USA,R,25000000,2010,374,0.48,7000
Color,98,87,9,1000,15000,33643461,11257,20061,0,65,English,USA,PG,50000000,2010,2000,0.42,7000
Color,127,90,420,141,191,226138454,160440,664,2,394,English,USA,PG-13,90000000,2001,165,0.66,7000
Color,25,106,323,429,472,45500797,17443,519,2,56,English,USA,PG-13,40000000,1992,47,0.6,694
Color,146,110,9,95,485,56932305,96690,939,2,293,English,USA,PG-13,55000000,2000,110,0.66,7000
Color,208,102,234,11000,20000,21557240,85237,45202,3,274,English,USA,R,49900000,2011,11000,0.56,18000
Color,45,114,73,563,695,15100000,22797,3444,1,96,English,USA,R,15000000,1984,654,0.6,7000
Color,146,135,91,715,3000,29077547,41685,5917,1,754,English,USA,PG-13,40000000,2005,1000,0.7,3000
Color,57,123,36,631,10000,32051917,42315,12338,0,140,English,USA,R,20000000,1995,1000,0.66,7000
Color,82,89,10,442,2000,50802661,58300,3372,1,139,English,USA,PG,95000000,2000,919,0.69,7000
Color,481,102,338,60,1000,4105123,148221,1445,0,316,Indonesian,Indonesia,R,1100000,2011,342,0.76,51000
Color,17,85,91,924,49000,7826,132,54484,10,2,English,USA,R,1200000,2007,931,0.62,87
Color,599,153,464,963,15000,262030663,451803,28489,0,1225,English,USA,PG-13,230000000,2012,10000,0.7,56000
Color,436,123,258,326,16000,116593191,223393,17657,2,550,English,USA,PG-13,200000000,2011,368,0.56,24000
Color,30,119,5,12,29,4958,9689,86,2,23,English,South Africa,R,2000000,2008,18,0.78,1000
Color,147,93,189,38,1000,82226474,65499,1267,0,424,English,USA,PG,65000000,2006,177,0.56,7000
Color,158,96,31,328,804,3590010,20885,3013,0,60,English,UK,R,2000000,2015,625,0.61,7000
Color,31,77,3,593,787,7382993,3851,2185,0,114,English,USA,G,20000000,2006,690,0.28,346
Color,40,98,7,17,289,95016,11074,362,0,56,German,Germany,R,2700000,2004,38,0.74,442
Color,68,88,34,445,642,78656813,42765,2501,0,93,English,USA,PG,25000000,1991,533,0.6,7000
Color,118,91,39,562,1000,55747724,18042,3104,1,73,English,USA,PG,55000000,2013,591,0.59,7000
Color,116,186,50,338,13000,46495,12053,14638,1,119,English,USA,R,14000000,2011,1000,0.65,7000
Color,68,98,36,405,10000,117190,29994,11770,4,86,English,UK,PG-13,8000000,2010,692,0.69,7000
Color,50,107,58,316,549,44726644,42614,1747,5,120,English,USA,R,13000000,1988,439,0.68,7000
Color,151,91,244,244,538,3885134,31130,1349,0,243,English,USA,R,2000000,2005,363,0.74,7000
Color,723,178,91,855,1000,760505847,886204,4834,0,3054,English,USA,PG-13,237000000,2009,936,0.79,33000
Color,132,101,17,429,35000,34017854,51326,36892,4,116,English,USA,PG-13,8500000,2015,966,0.65,8000
Color,163,101,16,472,943,6350058,106098,2786,3,150,English,USA,PG-13,8000000,2010,769,0.72,20000
Color,138,107,209,357,2000,42385520,47297,4059,0,86,English,USA,PG-13,30000000,2010,594,0.62,16000
Color,28,91,91,170,472,12055,739,1047,2,10,English,USA,PG-13,500000,2007,185,0.65,339
Color,123,119,91,188,22000,76270454,219008,22767,1,418,English,USA,R,25000000,1987,371,0.79,7000
Color,140,97,131,62,23000,21973182,53415,23242,2,339,English,USA,R,23000000,2001,81,0.66,7000
Color,183,125,541,409,920,107285004,189855,2699,3,1018,English,USA,PG-13,125000000,1997,890,0.37,7000
Color,335,129,91,385,12000,49874933,161168,13573,4,287,English,USA,R,26000000,2013,412,0.65,43000
Color,49,117,138,416,908,134904,2395,3204,9,17,English,USA,R,25000000,2010,581,0.57,636
Color,135,90,5,297,449,25926543,26609,1534,1,148,English,USA,PG-13,8000000,2008,332,0.52,7000
Color,111,93,16,258,567,4919896,21530,1775,1,159,English,UK,R,13000000,2001,326,0.61,618
Black and White,174,165,91,780,10000,58183966,79186,14196,1,386,English,USA,R,107000000,2001,851,0.68,7000
Color,138,113,319,48,1000,4717455,18632,1171,0,354,English,Australia,R,12000000,2003,65,0.53,656
Color,264,92,30,309,941,49122319,47169,2348,0,162,English,USA,PG-13,14000000,2012,459,0.59,17000
Color,470,122,14000,1000,11000,317011114,333847,14959,2,2054,English,USA,PG-13,185000000,2008,1000,0.62,5000
Color,55,109,78,619,854,33000000,9424,3394,1,109,English,USA,PG-13,10000000,1985,841,0.69,7000
Color,125,121,91,244,989,16311763,50656,2365,1,416,English,UK,R,17000000,1998,888,0.75,7000
Color,100,126,226,241,12000,34098563,27191,13406,1,232,English,USA,R,55000000,1999,509,0.65,7000
Color,241,81,91,836,12000,22245861,143251,25489,0,710,English,USA,R,19000000,2002,11000,0.77,7000
Color,66,95,31,683,3000,4411102,20295,6161,1,164,English,USA,PG-13,100000000,2002,695,0.38,416
Color,105,109,277,345,2000,3517797,9004,2759,0,103,English,France,R,25000000,2002,378,0.66,287
Color,37,127,16,399,565,35422828,19126,1735,1,155,English,USA,PG,20000000,1997,441,0.67,7000
Color,94,109,88,571,611,123307945,39391,2818,1,171,English,USA,PG-13,65000000,2000,592,0.43,374
Color,159,105,56,22,898,53021560,74630,1026,1,156,English,USA,PG,30000000,2010,60,0.65,13000
Color,25,101,91,83,240,10696,10771,490,8,65,English,USA,R,6800000,2003,83,0.64,413
Color,34,94,36,507,13000,13801755,23928,15183,1,100,English,USA,PG,20000000,1997,828,0.66,7000
Color,110,114,52,539,12000,78745923,94407,13905,1,322,English,Germany,PG-13,55000000,1998,702,0.67,7000
Color,141,124,130,841,4000,78120196,103241,6181,0,742,English,USA,R,75000000,2002,973,0.71,5000
Color,113,129,51,89,427,44469602,23480,952,0,83,English,USA,PG,17000000,2015,234,0.74,21000
Color,69,86,89,511,986,17314483,14621,4073,2,48,English,USA,R,4000000,2014,713,0.47,7000
Color,78,120,2,80,809,634277,5166,1651,1,27,French,France,PG-13,16000000,2007,521,0.73,815
Color,82,86,8,357,2000,5518918,12160,3071,0,73,English,USA,R,750000,2007,424,0.69,307
Color,42,91,23,629,925,10443316,7159,2913,2,88,English,USA,PG-13,15000000,1998,660,0.5,247
Color,92,236,91,232,933,184208848,186485,2398,1,382,English,USA,PG-13,22000000,1990,839,0.8,7000
Color,114,115,73,505,11000,41543207,30077,15571,1,175,English,USA,PG-13,42000000,2002,3000,0.63,893
Color,109,95,91,429,227,1060591,9750,231,0,66,Arabic,France,PG,1300000,2007,4,0.72,7000
Color,159,101,365,14,237,8025872,19234,302,3,258,English,USA,NC-17,4700000,1986,28,0.55,7000
Color,56,154,521,957,10000,158348400,88844,14244,0,142,English,USA,R,42000000,1993,1000,0.68,7000
Color,131,106,212,389,578,59068786,86902,2544,2,411,English,USA,PG-13,40000000,2001,563,0.64,7000
Color,24,101,31,448,690,6448817,2189,1993,0,31,English,USA,PG,35000000,1997,457,0.46,7000
Color,31,104,10,196,507,143653,1177,1281,0,10,English,UK,PG-13,4000000,2014,236,0.6,7000
Color,143,80,40,375,3000,100169068,16385,4394,0,100,English,USA,PG,80000000,2010,642,0.46,7000
Color,140,89,19,349,526,46363118,25960,1383,0,389,English,USA,PG-13,20000000,2005,392,0.41,1000
Color,183,89,10,704,852,50820940,31915,5056,0,159,English,USA,PG-13,5000000,2014,707,0.44,18000
Color,39,97,5,349,1000,2557668,3911,2739,1,22,English,USA,PG-13,2000000,2015,426,0.53,7000
Color,60,107,71,304,967,80000000,51459,1962,0,113,English,USA,PG,8200000,1984,455,0.65,7000
Color,285,100,91,389,640,7186670,21468,2082,0,164,English,USA,R,6000000,2013,550,0.54,12000
Color,140,100,126,925,19000,47000485,72867,25206,2,120,English,USA,PG-13,75000000,2010,1000,0.54,7000
Color,117,128,88,954,989,37432299,50041,3386,0,116,English,USA,PG-13,34000000,2015,970,0.71,23000
Color,52,89,91,405,555,13235267,12339,1752,2,32,English,USA,PG,6000000,2007,484,0.29,256
Color,104,96,11000,223,11000,10569071,35586,11867,2,131,English,USA,R,20000000,1997,474,0.74,7000
Color,61,114,357,366,13000,32885565,53132,25126,0,101,English,USA,PG-13,80000000,1996,10000,0.58,7000
Color,52,106,167,676,966,65182182,15310,4830,8,38,English,USA,PG-13,24000000,2014,807,0.57,3000
Color,102,107,368,1000,2000,100685880,100821,4046,0,554,English,USA,PG-13,120000000,2003,1000,0.48,7000
Color,103,90,6,458,1000,31585300,38248,2666,0,250,English,USA,PG-13,15000000,2005,650,0.61,7000
Color,66,109,200,1000,21000,336456,7116,41645,2,79,English,USA,R,8000000,2003,18000,0.56,494
Color,177,92,89,190,17000,55291815,28041,17860,0,111,English,USA,R,35000000,2016,329,0.6,7000
Black and White,127,105,386,248,3000,6390032,24977,4238,2,229,English,USA,R,3500000,1998,258,0.75,7000
Color,46,89,373,27,36,925402,27882,100,0,130,Persian,Iran,PG,180000,1997,35,0.85,7000
Color,72,86,94,146,693,333976,12559,1373,0,90,English,USA,R,12000000,2002,534,0.64,423
Color,9,105,28,131,426,123777,342,1043,0,15,English,Canada,PG-13,3500000,2016,294,0.47,7000
Color,392,156,91,4000,24000,336530303,383056,46055,0,1902,English,USA,PG-13,258000000,2007,11000,0.62,7000
Color,324,110,91,11000,17000,113709992,108843,46646,1,281,English,USA,R,7000000,2012,15000,0.61,54000
Color,17,83,3,421,16000,126247,24958,17469,0,103,English,USA,PG,6200000,1994,542,0.33,321
Color,226,117,91,818,15000,104054514,200359,16828,0,1009,English,USA,R,80000000,2002,1000,0.77,7000
Color,161,106,34,466,3000,17281832,60232,5329,3,110,English,Germany,PG,60000000,2008,1000,0.61,7000
Color,139,103,91,504,629,42365600,45890,2730,0,177,English,UK,PG,5000000,1981,561,0.7,7000
Color,153,102,22,816,1000,38087366,113918,4065,2,165,English,USA,R,12000000,2008,954,0.66,7000
Color,75,88,5,338,11000,6471394,15880,11972,5,93,English,USA,PG-13,50000000,2004,387,0.49,288
Color,198,92,394,527,693,181166115,219501,2574,0,1236,English,USA,PG-13,93000000,2001,595,0.59,7000
Color,108,90,29,650,22000,87856565,106909,24534,1,268,English,USA,PG-13,42000000,2004,923,0.59,7000
Color,361,121,175,221,963,43247140,134625,2131,0,265,English,UK,PG-13,55000000,2015,580,0.71,40000
Color,148,96,11,150,805,16027866,26767,1411,0,121,English,France,PG-13,25000000,2015,173,0.51,7000
Color,183,107,737,678,6000,12784713,56813,8094,11,381,English,USA,R,22000000,2004,718,0.67,7000
Color,117,131,53,548,14000,3752725,29715,16252,3,161,English,USA,R,18000000,2004,871,0.71,7000
Color,117,136,138,9000,18000,60984028,259519,45271,2,431,English,USA,R,57000000,1997,14000,0.75,11000
